rate_date,from_currency,to_currency,exchange_rate
2025-04-18,GBP,USD,1.2639
2025-04-18,EUR,GBP,0.8522
2025-04-19,EUR,USD,1.0676
2025-04-19,GBP,USD,1.2578
2025-04-19,EUR,GBP,0.8559
2025-04-20,EUR,USD,1.0961
2025-04-20,GBP,USD,1.256
2025-04-20,EUR,GBP,0.8466
2025-04-21,EUR,USD,1.0854
2025-04-21,GBP,USD,1.2542
2025-04-21,EUR,GBP,0.8428
2025-04-22,EUR,USD,1.0684
2025-04-22,GBP,USD,1.2827
2025-04-22,EUR,GBP,0.8519
2025-04-23,EUR,USD,1.0656
2025-04-23,GBP,USD,1.2601
2025-04-23,EUR,GBP,0.8572
2025-04-24,EUR,USD,1.0982
2025-04-24,GBP,USD,1.2836
2025-04-24,EUR,GBP,0.8508
2025-04-25,EUR,USD,1.0861
2025-04-25,GBP,USD,1.2846
2025-04-25,EUR,GBP,0.8554
2025-04-26,EUR,USD,1.0755
2025-04-26,GBP,USD,1.265
2025-04-26,EUR,GBP,0.8485
2025-04-27,EUR,USD,1.0844
2025-04-27,GBP,USD,1.2731
2025-04-27,EUR,GBP,0.8492
2025-04-28,EUR,USD,1.0882
2025-04-28,GBP,USD,1.2717
2025-04-28,EUR,GBP,0.8589
2025-04-29,EUR,USD,1.0604
2025-04-29,GBP,USD,1.2899
2025-04-29,EUR,GBP,0.8473
2025-04-30,EUR,USD,1.0916
2025-04-30,GBP,USD,1.2721
2025-04-30,EUR,GBP,0.8598
2025-05-01,EUR,USD,1.0979
2025-05-01,GBP,USD,1.2742
2025-05-01,EUR,GBP,0.8436
2025-05-02,EUR,USD,1.0885
2025-05-02,GBP,USD,1.2625
2025-05-02,EUR,GBP,0.8562
2025-05-03,EUR,USD,1.0875
2025-05-03,GBP,USD,1.2859
2025-05-03,EUR,GBP,0.8462
2025-05-04,EUR,USD,1.0973
2025-05-04,GBP,USD,1.2787
2025-05-04,EUR,GBP,0.8527
2025-05-05,EUR,USD,1.099
2025-05-05,GBP,USD,1.2643
2025-05-05,EUR,GBP,0.8564
2025-05-06,EUR,USD,1.071
2025-05-06,GBP,USD,1.2811
2025-05-06,EUR,GBP,0.8563
2025-05-07,EUR,USD,1.09
2025-05-07,GBP,USD,1.2638
2025-05-07,EUR,GBP,0.8531
2025-05-08,EUR,USD,1.0675
2025-05-08,GBP,USD,1.2701
2025-05-08,EUR,GBP,0.8483
2025-05-09,EUR,USD,1.0664
2025-05-09,GBP,USD,1.2666
2025-05-09,EUR,GBP,0.8447
2025-05-10,EUR,USD,1.0966
2025-05-10,GBP,USD,1.2532
2025-05-10,EUR,GBP,0.8455
2025-05-11,EUR,USD,1.0793
2025-05-11,GBP,USD,1.2738
2025-05-11,EUR,GBP,0.8536
2025-05-12,EUR,USD,1.0958
2025-05-12,GBP,USD,1.2715
2025-05-12,EUR,GBP,0.8454
2025-05-13,EUR,USD,1.0991
2025-05-13,GBP,USD,1.2627
2025-05-13,EUR,GBP,0.8598
2025-05-14,EUR,USD,1.0723
2025-05-14,GBP,USD,1.2571
2025-05-14,EUR,GBP,0.8557
2025-05-15,EUR,USD,1.0639
2025-05-15,GBP,USD,1.2663
2025-05-15,EUR,GBP,0.8567
2025-05-16,EUR,USD,1.0657
2025-05-16,GBP,USD,1.2807
2025-05-16,EUR,GBP,0.8482
2025-05-17,EUR,USD,1.0985
2025-05-17,GBP,USD,1.2812
2025-05-17,EUR,GBP,0.8528
2025-05-18,EUR,USD,1.0953
2025-05-18,GBP,USD,1.288
2025-05-18,EUR,GBP,0.856
2025-05-19,EUR,USD,1.0877
2025-05-19,GBP,USD,1.2639
2025-05-19,EUR,GBP,0.86
2025-05-20,EUR,USD,1.0686
2025-05-20,GBP,USD,1.2764
2025-05-20,EUR,GBP,0.8521
2025-05-21,EUR,USD,1.0729
2025-05-21,GBP,USD,1.261
2025-05-21,EUR,GBP,0.8455
2025-05-22,EUR,USD,1.0942
2025-05-22,GBP,USD,1.2734
2025-05-22,EUR,GBP,0.8487
2025-05-23,EUR,USD,1.0706
2025-05-23,GBP,USD,1.2799
2025-05-23,EUR,GBP,0.8466
2025-05-24,EUR,USD,1.0602
2025-05-24,GBP,USD,1.2776
2025-05-24,EUR,GBP,0.856
2025-05-25,EUR,USD,1.0652
2025-05-25,GBP,USD,1.2796
2025-05-25,EUR,GBP,0.8442
2025-05-26,EUR,USD,1.0783
2025-05-26,GBP,USD,1.2511
2025-05-26,EUR,GBP,0.8413
2025-05-27,EUR,USD,1.0737
2025-05-27,GBP,USD,1.2793
2025-05-27,EUR,GBP,0.8497
2025-05-28,EUR,USD,1.0955
2025-05-28,GBP,USD,1.2698
2025-05-28,EUR,GBP,0.8481
2025-05-29,EUR,USD,1.081
2025-05-29,GBP,USD,1.267
2025-05-29,EUR,GBP,0.8575
2025-05-30,EUR,USD,1.0983
2025-05-30,GBP,USD,1.2516
2025-05-30,EUR,GBP,0.8525
2025-05-31,EUR,USD,1.0908
2025-05-31,GBP,USD,1.2807
2025-05-31,EUR,GBP,0.849
2025-06-01,EUR,USD,1.0758
2025-06-01,GBP,USD,1.2605
2025-06-01,EUR,GBP,0.8566
2025-06-02,EUR,USD,1.0791
2025-06-02,GBP,USD,1.2785
2025-06-02,EUR,GBP,0.8582
2025-06-03,EUR,USD,1.0831
2025-06-03,GBP,USD,1.2849
2025-06-03,EUR,GBP,0.8584
2025-06-04,EUR,USD,1.0812
2025-06-04,GBP,USD,1.2827
2025-06-04,EUR,GBP,0.843
2025-06-05,EUR,USD,1.0925
2025-06-05,GBP,USD,1.2688
2025-06-05,EUR,GBP,0.8512
2025-06-06,EUR,USD,1.0844
2025-06-06,GBP,USD,1.2698
2025-06-06,EUR,GBP,0.8469
2025-06-07,EUR,USD,1.0936
2025-06-07,GBP,USD,1.2681
2025-06-07,EUR,GBP,0.8546
2025-06-08,EUR,USD,1.0747
2025-06-08,GBP,USD,1.2797
2025-06-08,EUR,GBP,0.8578
2025-06-09,EUR,USD,1.0639
2025-06-09,GBP,USD,1.2698
2025-06-09,EUR,GBP,0.8528
2025-06-10,EUR,USD,1.0625
2025-06-10,GBP,USD,1.277
2025-06-10,EUR,GBP,0.8556
2025-06-11,EUR,USD,1.0992
2025-06-11,GBP,USD,1.2597
2025-06-11,EUR,GBP,0.8546
2025-06-12,EUR,USD,1.087
2025-06-12,GBP,USD,1.2737
2025-06-12,EUR,GBP,0.8482
2025-06-13,EUR,USD,1.0961
2025-06-13,GBP,USD,1.2897
2025-06-13,EUR,GBP,0.8404
2025-06-14,EUR,USD,1.0839
2025-06-14,GBP,USD,1.2529
2025-06-14,EUR,GBP,0.8506
2025-06-15,EUR,USD,1.0896
2025-06-15,GBP,USD,1.2678
2025-06-15,EUR,GBP,0.8479
2025-06-16,EUR,USD,1.0662
2025-06-16,GBP,USD,1.2762
2025-06-16,EUR,GBP,0.8476
2025-06-17,EUR,USD,1.0722
2025-06-17,GBP,USD,1.2545
2025-06-17,EUR,GBP,0.8553
2025-06-18,EUR,USD,1.0753
2025-06-18,GBP,USD,1.2503
2025-06-18,EUR,GBP,0.8538
2025-06-19,EUR,USD,1.0868
2025-06-19,GBP,USD,1.2813
2025-06-19,EUR,GBP,0.848
2025-06-20,EUR,USD,1.0952
2025-06-20,GBP,USD,1.2526
2025-06-20,EUR,GBP,0.8513
2025-06-21,EUR,USD,1.0908
2025-06-21,GBP,USD,1.262
2025-06-21,EUR,GBP,0.8522
2025-06-22,EUR,USD,1.0785
2025-06-22,GBP,USD,1.2813
2025-06-22,EUR,GBP,0.8581
2025-06-23,EUR,USD,1.0628
2025-06-23,GBP,USD,1.2626
2025-06-23,EUR,GBP,0.8504
2025-06-24,EUR,USD,1.0669
2025-06-24,GBP,USD,1.2602
2025-06-24,EUR,GBP,0.856
2025-06-25,EUR,USD,1.0735
2025-06-25,GBP,USD,1.26
2025-06-25,EUR,GBP,0.8469
2025-06-26,EUR,USD,1.0861
2025-06-26,GBP,USD,1.2673
2025-06-26,EUR,GBP,0.8482
2025-06-27,EUR,USD,1.0827
2025-06-27,GBP,USD,1.2615
2025-06-27,EUR,GBP,0.8471
2025-06-28,EUR,USD,1.0906
2025-06-28,GBP,USD,1.2655
2025-06-28,EUR,GBP,0.8559
2025-06-29,EUR,USD,1.0994
2025-06-29,GBP,USD,1.2767
2025-06-29,EUR,GBP,0.8562
2025-06-30,EUR,USD,1.0748
2025-06-30,GBP,USD,1.2588
2025-06-30,EUR,GBP,0.8432
2025-07-01,EUR,USD,1.0922
2025-07-01,GBP,USD,1.2771
2025-07-01,EUR,GBP,0.8488
2025-07-02,EUR,USD,1.0845
2025-07-02,GBP,USD,1.2644
2025-07-02,EUR,GBP,0.8583
2025-07-03,EUR,USD,1.0657
2025-07-03,GBP,USD,1.2596
2025-07-03,EUR,GBP,0.8555
2025-07-04,EUR,USD,1.0978
2025-07-04,GBP,USD,1.2815
2025-07-04,EUR,GBP,0.8522
2025-07-05,EUR,USD,1.0899
2025-07-05,GBP,USD,1.2638
2025-07-05,EUR,GBP,0.8401
2025-07-06,EUR,USD,1.0707
2025-07-06,GBP,USD,1.2896
2025-07-06,EUR,GBP,0.8578
2025-07-07,EUR,USD,1.0951
2025-07-07,GBP,USD,1.252
2025-07-07,EUR,GBP,0.851
2025-07-08,EUR,USD,1.0844
2025-07-08,GBP,USD,1.2732
2025-07-08,EUR,GBP,0.8525
2025-07-09,EUR,USD,1.07
2025-07-09,GBP,USD,1.2639
2025-07-09,EUR,GBP,0.8597
2025-07-10,EUR,USD,1.0949
2025-07-10,GBP,USD,1.2776
2025-07-10,EUR,GBP,0.845
2025-07-11,EUR,USD,1.0678
2025-07-11,GBP,USD,1.282
2025-07-11,EUR,GBP,0.8567
2025-07-12,EUR,USD,1.096
2025-07-12,GBP,USD,1.2514
2025-07-12,EUR,GBP,0.8583
2025-07-13,EUR,USD,1.0819
2025-07-13,GBP,USD,1.2621
2025-07-13,EUR,GBP,0.8423
2025-07-14,EUR,USD,1.0879
2025-07-14,GBP,USD,1.2773
2025-07-14,EUR,GBP,0.8474
2025-07-15,EUR,USD,1.0987
2025-07-15,GBP,USD,1.2558
2025-07-15,EUR,GBP,0.8595
2025-07-16,EUR,USD,1.0739
2025-07-16,GBP,USD,1.2629
2025-07-16,EUR,GBP,0.8504
2025-07-17,EUR,USD,1.0718
2025-07-17,GBP,USD,1.2559
2025-07-17,EUR,GBP,0.8449
2025-07-18,EUR,USD,1.0876
2025-07-18,GBP,USD,1.2749
2025-07-18,EUR,GBP,0.8527
2025-07-19,EUR,USD,1.067
2025-07-19,GBP,USD,1.2541
2025-07-19,EUR,GBP,0.8469
2025-07-20,EUR,USD,1.0929
2025-07-20,GBP,USD,1.2776
2025-07-20,EUR,GBP,0.8438
2025-07-21,EUR,USD,1.0948
2025-07-21,GBP,USD,1.272
2025-07-21,EUR,GBP,0.841
2025-07-22,EUR,USD,1.0642
2025-07-22,GBP,USD,1.2648
2025-07-22,EUR,GBP,0.854
2025-07-23,EUR,USD,1.0822
2025-07-23,GBP,USD,1.272
2025-07-23,EUR,GBP,0.8455
2025-07-24,EUR,USD,1.0963
2025-07-24,GBP,USD,1.2706
2025-07-24,EUR,GBP,0.8538
2025-07-25,EUR,USD,1.0839
2025-07-25,GBP,USD,1.2587
2025-07-25,EUR,GBP,0.8497
2025-07-26,EUR,USD,1.0886
2025-07-26,GBP,USD,1.2845
2025-07-26,EUR,GBP,0.8448
2025-07-27,EUR,USD,1.0915
2025-07-27,GBP,USD,1.2693
2025-07-27,EUR,GBP,0.8415
2025-07-28,EUR,USD,1.0767
2025-07-28,GBP,USD,1.2589
2025-07-28,EUR,GBP,0.8558
2025-07-29,EUR,USD,1.0659
2025-07-29,GBP,USD,1.2693
2025-07-29,EUR,GBP,0.8548
2025-07-30,EUR,USD,1.0662
2025-07-30,GBP,USD,1.257
2025-07-30,EUR,GBP,0.8526
2025-07-31,EUR,USD,1.0866
2025-07-31,GBP,USD,1.289
2025-07-31,EUR,GBP,0.8581
2025-08-01,EUR,USD,1.0622
2025-08-01,GBP,USD,1.2666
2025-08-01,EUR,GBP,0.8402
2025-08-02,EUR,USD,1.0892
2025-08-02,GBP,USD,1.2866
2025-08-02,EUR,GBP,0.8425
2025-08-03,EUR,USD,1.08
2025-08-03,GBP,USD,1.2896
2025-08-03,EUR,GBP,0.8503
2025-08-04,EUR,USD,1.0632
2025-08-04,GBP,USD,1.2706
2025-08-04,EUR,GBP,0.8484
2025-08-05,EUR,USD,1.0874
2025-08-05,GBP,USD,1.2709
2025-08-05,EUR,GBP,0.8575
2025-08-06,EUR,USD,1.0866
2025-08-06,GBP,USD,1.2574
2025-08-06,EUR,GBP,0.8582
2025-08-07,EUR,USD,1.079
2025-08-07,GBP,USD,1.2603
2025-08-07,EUR,GBP,0.8524
2025-08-08,EUR,USD,1.0962
2025-08-08,GBP,USD,1.2512
2025-08-08,EUR,GBP,0.8536
2025-08-09,EUR,USD,1.0706
2025-08-09,GBP,USD,1.2771
2025-08-09,EUR,GBP,0.8433
2025-08-10,EUR,USD,1.0861
2025-08-10,GBP,USD,1.2516
2025-08-10,EUR,GBP,0.8459
2025-08-11,EUR,USD,1.0709
2025-08-11,GBP,USD,1.277
2025-08-11,EUR,GBP,0.8561
2025-08-12,EUR,USD,1.099
2025-08-12,GBP,USD,1.2655
2025-08-12,EUR,GBP,0.8551
2025-08-13,EUR,USD,1.084
2025-08-13,GBP,USD,1.278
2025-08-13,EUR,GBP,0.8476
2025-08-14,EUR,USD,1.077
2025-08-14,GBP,USD,1.2688
2025-08-14,EUR,GBP,0.8592
2025-08-15,EUR,USD,1.0939
2025-08-15,GBP,USD,1.2802
2025-08-15,EUR,GBP,0.8439
2025-08-16,EUR,USD,1.0991
2025-08-16,GBP,USD,1.2765
2025-08-16,EUR,GBP,0.856
2025-08-17,EUR,USD,1.0698
2025-08-17,GBP,USD,1.2586
2025-08-17,EUR,GBP,0.8446
2025-08-18,EUR,USD,1.0808
2025-08-18,GBP,USD,1.2846
2025-08-18,EUR,GBP,0.8422
2025-08-19,EUR,USD,1.0919
2025-08-19,GBP,USD,1.2824
2025-08-19,EUR,GBP,0.8555
2025-08-20,EUR,USD,1.0838
2025-08-20,GBP,USD,1.2845
2025-08-20,EUR,GBP,0.8555
2025-08-21,EUR,USD,1.0612
2025-08-21,GBP,USD,1.2747
2025-08-21,EUR,GBP,0.8461
2025-08-22,EUR,USD,1.0613
2025-08-22,GBP,USD,1.2542
2025-08-22,EUR,GBP,0.8423
2025-08-23,EUR,USD,1.0979
2025-08-23,GBP,USD,1.2526
2025-08-23,EUR,GBP,0.8498
2025-08-24,EUR,USD,1.0832
2025-08-24,GBP,USD,1.2741
2025-08-24,EUR,GBP,0.8456
2025-08-25,EUR,USD,1.0933
2025-08-25,GBP,USD,1.277
2025-08-25,EUR,GBP,0.8497
2025-08-26,EUR,USD,1.0967
2025-08-26,GBP,USD,1.2563
2025-08-26,EUR,GBP,0.8527
2025-08-27,EUR,USD,1.0649
2025-08-27,GBP,USD,1.2691
2025-08-27,EUR,GBP,0.8489
2025-08-28,EUR,USD,1.0784
2025-08-28,GBP,USD,1.2616
2025-08-28,EUR,GBP,0.8508
2025-08-29,EUR,USD,1.0981
2025-08-29,GBP,USD,1.2823
2025-08-29,EUR,GBP,0.854
2025-08-30,EUR,USD,1.071
2025-08-30,GBP,USD,1.2698
2025-08-30,EUR,GBP,0.8417
2025-08-31,EUR,USD,1.0772
2025-08-31,GBP,USD,1.2597
2025-08-31,EUR,GBP,0.8545
2025-09-01,EUR,USD,1.0842
2025-09-01,GBP,USD,1.2673
2025-09-01,EUR,GBP,0.858
2025-09-02,EUR,USD,1.0952
2025-09-02,GBP,USD,1.2809
2025-09-02,EUR,GBP,0.8408
2025-09-03,EUR,USD,1.0631
2025-09-03,GBP,USD,1.2843
2025-09-03,EUR,GBP,0.8526
2025-09-04,EUR,USD,1.0701
2025-09-04,GBP,USD,1.2638
2025-09-04,EUR,GBP,0.8407
2025-09-05,EUR,USD,1.0614
2025-09-05,GBP,USD,1.2742
2025-09-05,EUR,GBP,0.8427
2025-09-06,EUR,USD,1.0995
2025-09-06,GBP,USD,1.27
2025-09-06,EUR,GBP,0.849
2025-09-07,EUR,USD,1.0735
2025-09-07,GBP,USD,1.2616
2025-09-07,EUR,GBP,0.8497
2025-09-08,EUR,USD,1.067
2025-09-08,GBP,USD,1.2631
2025-09-08,EUR,GBP,0.8408
2025-09-09,EUR,USD,1.0916
2025-09-09,GBP,USD,1.2546
2025-09-09,EUR,GBP,0.8594
2025-09-10,EUR,USD,1.0803
2025-09-10,GBP,USD,1.2728
2025-09-10,EUR,GBP,0.8506
2025-09-11,EUR,USD,1.072
2025-09-11,GBP,USD,1.2768
2025-09-11,EUR,GBP,0.8429
2025-09-12,EUR,USD,1.072
2025-09-12,GBP,USD,1.2807
2025-09-12,EUR,GBP,0.8574
2025-09-13,EUR,USD,1.0629
2025-09-13,GBP,USD,1.2814
2025-09-13,EUR,GBP,0.8594
2025-09-14,EUR,USD,1.0919
2025-09-14,GBP,USD,1.2893
2025-09-14,EUR,GBP,0.8533
2025-09-15,EUR,USD,1.0639
2025-09-15,GBP,USD,1.2898
2025-09-15,EUR,GBP,0.8545
2025-09-16,EUR,USD,1.0927
2025-09-16,GBP,USD,1.252
2025-09-16,EUR,GBP,0.8548
2025-09-17,EUR,USD,1.0999
2025-09-17,GBP,USD,1.27
2025-09-17,EUR,GBP,0.8548
2025-09-18,EUR,USD,1.0811
2025-09-18,GBP,USD,1.2548
2025-09-18,EUR,GBP,0.8487
2025-09-19,EUR,USD,1.0846
2025-09-19,GBP,USD,1.2766
2025-09-19,EUR,GBP,0.8518
2025-09-20,EUR,USD,1.07
2025-09-20,GBP,USD,1.2767
2025-09-20,EUR,GBP,0.845
2025-09-21,EUR,USD,1.0862
2025-09-21,GBP,USD,1.2564
2025-09-21,EUR,GBP,0.8533
2025-09-22,EUR,USD,1.0985
2025-09-22,GBP,USD,1.265
2025-09-22,EUR,GBP,0.8497
2025-09-23,EUR,USD,1.0764
2025-09-23,GBP,USD,1.2709
2025-09-23,EUR,GBP,0.8543
2025-09-24,EUR,USD,1.0795
2025-09-24,GBP,USD,1.2804
2025-09-24,EUR,GBP,0.8468
2025-09-25,EUR,USD,1.0902
2025-09-25,GBP,USD,1.2757
2025-09-25,EUR,GBP,0.8477
2025-09-26,EUR,USD,1.0823
2025-09-26,GBP,USD,1.2772
2025-09-26,EUR,GBP,0.844
2025-09-27,EUR,USD,1.097
2025-09-27,GBP,USD,1.265
2025-09-27,EUR,GBP,0.8562
2025-09-28,EUR,USD,1.0613
2025-09-28,GBP,USD,1.2716
2025-09-28,EUR,GBP,0.8545
2025-09-29,EUR,USD,1.0685
2025-09-29,GBP,USD,1.2666
2025-09-29,EUR,GBP,0.8531
2025-09-30,EUR,USD,1.0637
2025-09-30,GBP,USD,1.261
2025-09-30,EUR,GBP,0.8517
2025-10-01,EUR,USD,1.0871
2025-10-01,GBP,USD,1.2864
2025-10-01,EUR,GBP,0.847
2025-10-02,EUR,USD,1.0789
2025-10-02,GBP,USD,1.2727
2025-10-02,EUR,GBP,0.8415
2025-10-03,EUR,USD,1.0831
2025-10-03,GBP,USD,1.2825
2025-10-03,EUR,GBP,0.8583
2025-10-04,EUR,USD,1.0742
2025-10-04,GBP,USD,1.2883
2025-10-04,EUR,GBP,0.8469
2025-10-05,EUR,USD,1.0901
2025-10-05,GBP,USD,1.2539
2025-10-05,EUR,GBP,0.8525
2025-10-06,EUR,USD,1.0653
2025-10-06,GBP,USD,1.2739
2025-10-06,EUR,GBP,0.8456
2025-10-07,EUR,USD,1.074
2025-10-07,GBP,USD,1.2583
2025-10-07,EUR,GBP,0.8459
2025-10-08,EUR,USD,1.0698
2025-10-08,GBP,USD,1.2601
2025-10-08,EUR,GBP,0.8519
2025-10-09,EUR,USD,1.0854
2025-10-09,GBP,USD,1.2864
2025-10-09,EUR,GBP,0.8559
2025-10-10,EUR,USD,1.0814
2025-10-10,GBP,USD,1.2625
2025-10-10,EUR,GBP,0.8439
2025-10-11,EUR,USD,1.0752
2025-10-11,GBP,USD,1.2767
2025-10-11,EUR,GBP,0.8486
2025-10-12,EUR,USD,1.0856
2025-10-12,GBP,USD,1.2703
2025-10-12,EUR,GBP,0.8573
2025-10-13,EUR,USD,1.0684
2025-10-13,GBP,USD,1.2713
2025-10-13,EUR,GBP,0.8516
2025-10-14,EUR,USD,1.0899
2025-10-14,GBP,USD,1.2516
2025-10-14,EUR,GBP,0.8454
2025-10-15,EUR,USD,1.0705
2025-10-15,GBP,USD,1.2622
2025-10-15,EUR,GBP,0.8582
2025-10-16,EUR,USD,1.0817
2025-10-16,GBP,USD,1.2881
2025-10-16,EUR,GBP,0.8458
2025-10-17,EUR,USD,1.0843
2025-10-17,GBP,USD,1.2718
2025-10-17,EUR,GBP,0.8579
2025-10-18,EUR,USD,1.0849
2025-10-18,GBP,USD,1.2547
2025-10-18,EUR,GBP,0.8558
2025-10-19,EUR,USD,1.0989
2025-10-19,GBP,USD,1.2793
2025-10-19,EUR,GBP,0.8557
2025-10-20,EUR,USD,1.0742
2025-10-20,GBP,USD,1.2556
2025-10-20,EUR,GBP,0.8438
2025-10-21,EUR,USD,1.0653
2025-10-21,GBP,USD,1.2702
2025-10-21,EUR,GBP,0.8596
2025-10-22,EUR,USD,1.0891
2025-10-22,GBP,USD,1.2543
2025-10-22,EUR,GBP,0.849
2025-10-23,EUR,USD,1.0767
2025-10-23,GBP,USD,1.2759
2025-10-23,EUR,GBP,0.8486
2025-10-24,EUR,USD,1.0645
2025-10-24,GBP,USD,1.2872
2025-10-24,EUR,GBP,0.8503
2025-10-25,EUR,USD,1.0874
2025-10-25,GBP,USD,1.287
2025-10-25,EUR,GBP,0.8494
2025-10-26,EUR,USD,1.0685
2025-10-26,GBP,USD,1.2798
2025-10-26,EUR,GBP,0.8422
2025-10-27,EUR,USD,1.0877
2025-10-27,GBP,USD,1.2583
2025-10-27,EUR,GBP,0.85
2025-10-28,EUR,USD,1.0657
2025-10-28,GBP,USD,1.2592
2025-10-28,EUR,GBP,0.8464
2025-10-29,EUR,USD,1.0857
2025-10-29,GBP,USD,1.257
2025-10-29,EUR,GBP,0.8453
2025-10-30,EUR,USD,1.077
2025-10-30,GBP,USD,1.2634
2025-10-30,EUR,GBP,0.8406
2025-10-31,EUR,USD,1.095
2025-10-31,GBP,USD,1.2831
2025-10-31,EUR,GBP,0.8519
2025-11-01,EUR,USD,1.0751
2025-11-01,GBP,USD,1.2669
2025-11-01,EUR,GBP,0.8556
2025-11-02,EUR,USD,1.064
2025-11-02,GBP,USD,1.268
2025-11-02,EUR,GBP,0.8562
2025-11-03,EUR,USD,1.0886
2025-11-03,GBP,USD,1.2693
2025-11-03,EUR,GBP,0.8438
2025-11-04,EUR,USD,1.0899
2025-11-04,GBP,USD,1.2616
2025-11-04,EUR,GBP,0.843
2025-11-05,EUR,USD,1.0903
2025-11-05,GBP,USD,1.2687
2025-11-05,EUR,GBP,0.8415
2025-11-06,EUR,USD,1.0819
2025-11-06,GBP,USD,1.2679
2025-11-06,EUR,GBP,0.8561
2025-11-07,EUR,USD,1.0806
2025-11-07,GBP,USD,1.2887
2025-11-07,EUR,GBP,0.8592
2025-11-08,EUR,USD,1.0753
2025-11-08,GBP,USD,1.2672
2025-11-08,EUR,GBP,0.8509
2025-11-09,EUR,USD,1.0614
2025-11-09,GBP,USD,1.2747
2025-11-09,EUR,GBP,0.8547
2025-11-10,EUR,USD,1.0959
2025-11-10,GBP,USD,1.2673
2025-11-10,EUR,GBP,0.8421
2025-11-11,EUR,USD,1.0752
2025-11-11,GBP,USD,1.269
2025-11-11,EUR,GBP,0.8587
2025-11-12,EUR,USD,1.073
2025-11-12,GBP,USD,1.2687
2025-11-12,EUR,GBP,0.8589
2025-11-13,EUR,USD,1.062
2025-11-13,GBP,USD,1.2876
2025-11-13,EUR,GBP,0.8539
